"","X","topic","term","beta"
"144",14385,15,"market",0.0119596740953842
"145",409005,15,"internet",0.0116241962254666
"146",235245,15,"online",0.0109272156824447
"147",3375,15,"business",0.0109003435600844
"148",11985,15,"information",0.00953149943525572
"149",28485,15,"card",0.00888190824315305
"150",16335,15,"offer",0.00785253649291713
"151",19216,16,"property",0.0388445323726472
"152",17146,16,"partnership",0.0335732946469847
"153",13216,16,"lease",0.0223185066647613
"154",35446,16,"real",0.0131867361531887
"155",52516,16,"partner",0.0127512920089113
"156",16516,16,"operate",0.0116034785169109
"157",31066,16,"estate",0.0113457005833792
"158",12286,16,"interest",0.0110582074505448
"159",13546,16,"limit",0.0101967507548854
"160",10636,16,"general",0.00978687418170989
"161",51947,17,"loan",0.0659654794951027
"162",41057,17,"mortgage",0.0174229969514235
"163",19727,17,"rate",0.0169103166629736
"164",12287,17,"interest",0.0137110819794765
"165",14927,17,"million",0.0114532577562917
"166",39197,17,"credit",0.0102207037114606
"167",53657,17,"saving",0.00970094220355689
"168",43187,17,"asset",0.00952059710385236
"169",35447,17,"real",0.00886469538534465
"170",42227,17,"security",0.00873214098374061
"171",39708,18,"energy",0.0191526862686748
"172",41538,18,"power",0.0167414697023882
"173",40038,18,"gas",0.0129413714773806
"174",42798,18,"utility",0.0118646379568999
"175",39618,18,"electric",0.0113748943470842
"176",6048,18,"cost",0.010703301715616
"177",6468,18,"customer",0.0103048338271835
"178",22458,18,"service",0.0097897640338802
"179",19728,18,"rate",0.00976650609033836
"180",9378,18,"facility",0.00875903909634554
"181",22459,19,"service",0.0439533459604214
"182",3379,19,"business",0.0191317072212676
"183",6469,19,"customer",0.0182754308822083
"184",40819,19,"management",0.0166902805688304
"185",14389,19,"market",0.0156510052390312
"186",3836659,19,"•",0.0150986970667378
"187",4279,19,"client",0.0150568182696151
"188",19339,19,"provide",0.0133056979944477
"189",11779,19,"include",0.0116397859345102
"190",11959,19,"industry",0.0100282721614979
"191",18980,20,"product",0.0222124144913095
"192",31820,20,"food",0.017782711240179
"193",14390,20,"market",0.012999922343157
"194",61190,20,"brand",0.0086148589439344
"195",23420,20,"state",0.00779850879795567
"196",19010,20,"production",0.00745752266017879
"197",18920,20,"produce",0.00711561989299928
"198",35150,20,"process",0.00680708243607537
"199",21770,20,"sale",0.00666344660868387
"200",22280,20,"sell",0.00664923885294316
"201",84171,21,"president",0.04351157938585
"202",45771,21,"officer",0.0310447457592341
"203",153081,21,"vice",0.0303059445894031
"204",44691,21,"executive",0.0246883211442613
"205",22431,21,"serve",0.0240989775180399
"206",138741,21,"chief",0.0228221291912138
"207",7191,21,"director",0.0183467951361593
"208",87321,21,"china",0.0140708949642181
"209",53811,21,"senior",0.0121312472215984
"210",3381,21,"business",0.0120493048838086
"211",22462,22,"service",0.0230383161258723
"212",86962,22,"care",0.021933159213308
"213",32542,22,"health",0.0203108891127718
"214",23422,22,"state",0.0137559631722427
"215",133462,22,"healthcare",0.0121002254812749
"216",19072,22,"program",0.0111351654588896
"217",118732,22,"hospital",0.0111331418371426
"218",136282,22,"patient",0.0111038771534163
"219",14512,22,"medical",0.0105551124458113
"220",13162,22,"law",0.0100253386499861
"221",94883,23,"mine",0.0170546251466143
"222",37973,23,"water",0.0142456337225196
"223",35243,23,"project",0.0122590097676542
"224",37913,23,"waste",0.0105077774152039
"225",38993,23,"coal",0.00890009485860698
"226",23423,23,"state",0.00838820079601142
"227",30983,23,"environmental",0.00821263413469543
"228",16553,23,"operation",0.00816859215544407
"229",19223,23,"property",0.00683147465909441
"230",9383,23,"facility",0.00673955769557153
"231",18984,24,"product",0.0202052360481644
"232",127884,24,"device",0.0201263315416168
"233",14394,24,"market",0.0126968952804464
"234",14514,24,"medical",0.0117675062309922
"235",117954,24,"fda",0.0107456772774245
"236",136284,24,"patient",0.0101413872699673
"237",18834,24,"procedure",0.00720932075669933
"238",20904,24,"require",0.00590106532560859
"239",34524,24,"patent",0.00586364026321446
"240",75894,24,"technology",0.00580376016338385
"241",40045,25,"gas",0.0357945745002199
"242",34165,25,"oil",0.0283921167678383
"243",34075,25,"natural",0.0187123822033541
"244",19015,25,"production",0.01362289956856
"245",89845,25,"drill",0.0118394578258621
"246",41395,25,"pipeline",0.0109974147697644
"247",16555,25,"operation",0.00906006172671562
"248",20335,25,"regulation",0.00860045337124173
"249",102475,25,"well",0.0079297619894723
"250",12295,25,"interest",0.00740491573508909
"251",304616,26,"gaming",0.0201616437988797
"252",11456,26,"hotel",0.0183064339104728
"253",217556,26,"casino",0.0131010518670295
"254",13466,26,"license",0.0102972272586545
"255",74876,26,"nevada",0.00883541374934258
"256",11786,26,"include",0.00778557859857961
"257",16556,26,"operation",0.00767866218413296
"258",23426,26,"state",0.00730272726311795
"259",68906,26,"resort",0.00723222779332999
"260",9386,26,"facility",0.00675750023783066
"261",51687,27,"investment",0.0364588442517639
"262",10527,27,"fund",0.023918418985856
"263",42627,27,"trust",0.0146670345659092
"264",25287,27,"trade",0.01456625718872
"265",43197,27,"asset",0.0143596688639773
"266",42237,27,"security",0.0137256509378755
"267",57297,27,"income",0.0116412229575274
"268",9687,27,"fee",0.0097899287624749
"269",70107,27,"tax",0.00925022404951541
"270",28437,27,"capital",0.00894879266211835
"271",19078,28,"program",0.028839166547921
"272",14548,28,"member",0.0133156010075719
"273",80308,28,"student",0.013122401612179
"274",145198,28,"school",0.0129330826672109
"275",73978,28,"education",0.0122948073670328
"276",23428,28,"state",0.0111999324002018
"277",27268,28,"year",0.00981578749261216
"278",51508,28,"institution",0.00816012864469249
"279",84718,28,"train",0.00779442558950568
"280",70318,28,"title",0.0077041169250737
"281",22469,29,"service",0.0474999442841734
"282",15719,29,"network",0.0214236374896099
"283",3449,29,"cable",0.0142681446168003
"284",6479,29,"customer",0.0140625966349804
"285",4799,29,"communication",0.0115364831756351
"286",113759,29,"wireless",0.0101457454266458
"287",19349,29,"provide",0.00984550913850312
"288",13799,29,"local",0.00942094570021337
"289",113549,29,"telecommunication",0.00924488056830289
"290",149,29,"access",0.00891895728217918
"291",18990,30,"product",0.0168111592613268
"292",116820,30,"clinical",0.016741588442064
"293",188940,30,"trial",0.0153471269740534
"294",136290,30,"patient",0.0139589110329171
"295",117630,30,"drug",0.0134271712249474
"296",117960,30,"fda",0.0118949042261504
"297",37080,30,"study",0.0100438978508471
"298",1800,30,"approval",0.00880874392654361
"299",17730,30,"phase",0.00840032997013886
"300",37650,30,"treatment",0.00835254081425401
